起站,訖站,單程票,悠遊卡,敬老卡、愛心卡、愛心陪伴卡,站間行駛時間
劍南路,南港展覽館,30,24,12,16
劍南路,南港軟體園區,30,24,12,14
劍南路,東湖,25,20,10,13
劍南路,葫洲,25,20,10,11
劍南路,大湖公園,25,20,10,9
劍南路,內湖,20,16,8,7
劍南路,文德,20,16,8,5
劍南路,港墘,20,16,8,4
劍南路,西湖,20,16,8,2
劍南路,大直,20,16,8,2
劍南路,松山機場,20,16,8,5
劍南路,中山國中,25,20,10,8
劍南路,南京東路,25,20,10,10
劍南路,忠孝復興,25,20,10,12
劍南路,大安,30,24,12,14
劍南路,科技大樓,30,24,12,15
劍南路,六張犁,30,24,12,18
劍南路,麟光,35,28,14,19
劍南路,辛亥,35,28,14,22
劍南路,萬芳醫院,35,28,14,24
劍南路,萬芳社區,40,32,16,26
劍南路,木柵,40,32,16,27
劍南路,動物園,40,32,16,28
劍南路,淡水,65,52,26,60
劍南路,紅樹林,60,48,24,57
劍南路,竹圍,60,48,24,55
劍南路,關渡,55,44,22,52
劍南路,忠義,55,44,22,51
劍南路,復興崗,50,40,20,49
劍南路,北投,50,40,20,46
劍南路,新北投,50,40,20,52
劍南路,奇岩,50,40,20,44
劍南路,唭哩岸,45,36,18,43
劍南路,石牌,45,36,18,41
劍南路,明德,45,36,18,39
劍南路,芝山,40,32,16,38
劍南路,士林,40,32,16,36
劍南路,劍潭,40,32,16,34
劍南路,圓山,35,28,14,31
劍南路,民權西路,35,28,14,28
劍南路,雙連,35,28,14,28
劍南路,中山,30,24,12,27
劍南路,台北車站,30,24,12,22
劍南路,台大醫院,30,24,12,27
劍南路,中正紀念堂,35,28,14,25
劍南路,東門,30,24,12,21
劍南路,大安森林公園,30,24,12,20
劍南路,大安,30,24,12,14
劍南路,信義安和,30,24,12,20
劍南路,台北101/世貿,30,24,12,22
劍南路,象山,35,28,14,24
劍南路,小南門,35,28,14,28
劍南路,古亭,35,28,14,25
劍南路,台電大樓,35,28,14,30
劍南路,公館,35,28,14,31
劍南路,萬隆,40,32,16,34
劍南路,景美,40,32,16,36
劍南路,大坪林,45,36,18,38
劍南路,七張,45,36,18,39
劍南路,小碧潭,45,36,18,46
劍南路,新店區公所,45,36,18,41
劍南路,新店,45,36,18,43
劍南路,蘆洲,45,36,18,41
劍南路,三民高中,45,36,18,39
劍南路,徐匯中學,40,32,16,37
劍南路,三和國中,40,32,16,35
劍南路,三重國小,40,32,16,33
劍南路,迴龍,55,44,22,51
劍南路,丹鳳,55,44,22,48
劍南路,輔大,50,40,20,46
劍南路,新莊,45,36,18,43
劍南路,頭前庄,45,36,18,41
劍南路,先嗇宮,45,36,18,39
劍南路,三重,40,32,16,36
劍南路,菜寮,40,32,16,34
劍南路,台北橋,40,32,16,32
劍南路,大橋頭,35,28,14,30
劍南路,民權西路,35,28,14,28
劍南路,中山國小,35,28,14,26
劍南路,行天宮,30,24,12,24
劍南路,松江南京,30,24,12,22
劍南路,忠孝新生,30,24,12,18
劍南路,東門,30,24,12,21
劍南路,古亭,35,28,14,25
劍南路,頂溪,35,28,14,29
劍南路,永安市場,40,32,16,31
劍南路,景安,40,32,16,33
劍南路,南勢角,40,32,16,34
劍南路,南港展覽館,30,24,12,16
劍南路,南港,30,24,12,23
劍南路,昆陽,35,28,14,25
劍南路,後山埤,35,28,14,24
劍南路,永春,30,24,12,23
劍南路,市政府,30,24,12,21
劍南路,國父紀念館,30,24,12,19
劍南路,忠孝敦化,30,24,12,18
劍南路,忠孝復興,25,20,10,12
劍南路,忠孝新生,30,24,12,18
劍南路,善導寺,30,24,12,20
劍南路,台北車站,30,24,12,22
劍南路,西門,35,28,14,24
劍南路,龍山寺,35,28,14,27
劍南路,江子翠,40,32,16,30
劍南路,新埔,40,32,16,32
劍南路,板橋,45,36,18,34
劍南路,府中,45,36,18,36
劍南路,亞東醫院,50,40,20,38
劍南路,海山,50,40,20,41
劍南路,土城,55,44,22,43
劍南路,永寧,55,44,22,45
